bugid,summary,component
1405442,discardBrowser not working for many tabs that have onbeforeunload event handler,Tabbed Browser
1467448,[10.14] Session restore not working consistently,Session Restore
1477758,Bookmark Multi-select tabs via Ctrl/Cmd + D is not working as expected.,Tabbed Browser
1511097,The new password field and confirm password not working in american express change password portal,Untriaged
1544300,Non-working address bar and blank tiles on New Tab page,Address Bar
1569111,Firefox Multi-Account Containers not working when Always use private browsing mode is activated,Private Browsing
1600489,Private browsing window option & button not working,Private Browsing
1624003,Search Tips :  screen reader on ubuntu not working,Address Bar
1389221,Some Emacs-like shortcuts not working in location bar on macOS,Address Bar
604862,View Bar is not working when user using short cut key,Toolbars and Customization
753186,Inspect Element with Firebug not working in Firefox Aurora,Untriaged
794780,Browser shut down occurs while working on it,Untriaged
822579,Not working,Private Browsing
832582,word suggestion is not working if the net connection is slow,Untriaged
941503,browser shut down occurs while working on it,Untriaged
941504,browser shut down occurs while working on it,Untriaged
1405061,Menu on right click mouse not working after hibernation mode,Menus
1580127,"""Script not working, Please wait"" pop-up displaying when browsing the sites.",Untriaged
1140386,[EME] Shortcut key not working for 'Learn more about DRM...',General
1455990,Easter egg added in bug 1405009 stopped working,Preferences
575528,Keyword.Url  Not Working (Default Search Engine Search),Address Bar
592945,Google video chat plugin isn't  working in firefox 4 beta 4 version...,General
698308,Need a client-side method/add-on for working with ZeusSetup#Server:_Sync,Sync
906727,UX Nightly: Customizing toolbar stops other Firefox nightlies/Firefox stable from working in that profile,Toolbars and Customization
1461206,autocomplete in address bar or input field may lead to browser hang and all stop working mouse control in all Xwayland applications,Address Bar
1484658,url bar history completion not working,Address Bar
1594976,Intermittent browser/base/content/test/trackingUI/browser_trackingUI_report_breakage.js | site not working button is visible -,Protections UI
354579,Greasemonkey extension not working with firefox 2,Extension Compatibility
287562,back and forward shortcut keys not working,Keyboard Navigation
355580,Tamper Data extension not available/working for firefox 2,Extension Compatibility
1120695,Breakdown: Get Sync engines working with promises/tasks,Sync
354237,Download Embedded extension not working with Firefox 2,Extension Compatibility
1577372,Working copy functionality was removed from page info window,Page Info Window
1164473,Scroll via touch stop working after pen is activated,Untriaged
467678,FoxyTunes addon not available/working for Firefox 3.5,Extension Compatibility
355734,NewsFox  extension not available/working for firefox 2,Extension Compatibility
327678,Mac OSX -- drag and drop on personal toolbar stops working after dragging toolbarbutton,Bookmarks & History
836283,In the Downloads View the Cancel button stops working,Downloads Panel
355702,Menu Editor extension not available/working for firefox 2,Extension Compatibility
354932,minimizetotray extension not available/working for firefox 2,Extension Compatibility
1271065,Dashlane 3.6.8 stopped working after update to latest Firefox 47.0b4,Extension Compatibility
898170,Minor tweaks to get electrolysis working on trunk again,General
1059007,Get session restore tests working in e10s,Session Restore
411819,Greasemonkey addon not available/working for Firefox 3,Extension Compatibility
467581,Greasemonkey addon not available/working for Firefox 3.5,Extension Compatibility
354218,All-in-One Gestures Extension not working with Firefox 2,Extension Compatibility
411764,All-in-One Gestures addon not available/working for Firefox 3,Extension Compatibility
468720,All-in-One Gestures addon not available/working for Firefox 3.5,Extension Compatibility
247405,"after installing firefox.9 and it not working the next day. i am unable to use the XP system restore,",Shell Integration
247808,"URL not transferring to Location -field. Reload not working when opening a link into new tab, if server fails.",Tabbed Browser
249918,Scrollbar can cease working if you click a link then press stop and wrong URL shown in address bar,Tabbed Browser
250075,Ctrl+Tab and Ctrl+Shift+Tab for switching back and forward through tabs isn't working on Security Tab,Page Info Window
255485,Back button not working after removing locationbar,Toolbars and Customization
261847,Seach plug-ins Update Mechanism Not Working,Search
264892,CTRL+T not working when a pdf file is opened,Tabbed Browser
272560,"""Open in new tab"" features not working",Tabbed Browser
273367,Open link in new tab stops working in a Firefox window,Tabbed Browser
275873,working plugin does not appear in edit>preferences>plugins,Preferences
281146,"History remains empty, back/foward buttons remain empty.  Location bar does not accept an ""enter"" ! (UI really not working)",Bookmarks & History
283354,config option editor.singleLine.pasteNewlines not working when dragging link to tabbar,Tabbed Browser
283596,"""Load Images from originating website only"" pref not working in new options dialog",Preferences
411762,Mouse Gestures addon not available/working for Firefox 3,Extension Compatibility
172402,charset autodetector not working,General
179655,cache not working efficiently ?,General
186075,Keyboard shortcuts sometimes not working when window regains focus,General
208634,View source not working in either toolbar on context menu,General
214472,scrolling with mouse wheel or up/down arrows stops working if page loads while firebird is minimized,General
219934,Mousewheel stops working if page loads while browser minimised,General
221305,backwards navigation records too many steps when working with frames,General
221461,SetVariable is not working,General
223348,Java applets not working and plug-in installation not working.,General
224212,Chemdraw net plugin not working properly. no Drawing palette,General
228640,Javascript onload or window.open() not working,General
229516,View-source not working on IDNa domains,General
230004,navigation buttons stop working after using for some time. (using smooth scrolling),General
231259,Keyboard Shortcuts Not Working,General
232211,"scroll / scrolling is not working while the page is loading, you can click onto the bar but it is not moving",General
233025,Printing not working,General
234242,File -> Save As not working in other windows applications,General
234787,Some Yahoo finance links not working,General
235466,Some fonts not working as style/font-family,General
236206,"right click ""web search for the "" function not working",General
236317,form not working in Firefox but works fine in IE.,General
237037,downloads dont start ; password management slowing the machine ; closing window from upper-rigth corner button not working ; browsing file to upload not working,General
237360,Back button not working on error page,General
237722,Location Bar is not working.,General
239921,Javascript location= not working with relative URL,General
240073,pull-down menu in webpage not working probably,General
240215,Site isnt working,General
242001,Table background-color attribute not working,General
242354,"Firefox loads, and then gives me an error that stops the program from working at all.",General
242570,Intellimouse side buttons not working properly with GTK2/XFT build of Firefox,General
245084,Javascript in Sidebar is not working properly,General
245537,Firefox slows down and becomes less responsive while winamp 5 and eclipse working,General
246137,"always use my fonts, not always working",General
246880,Under 0.9  my banking software has stopped working,General
247447,"Preferences' OK button stops working when i select ""Web Features""",Preferences
249205,Javascript not working (was fine still 0.8+ release),General
251971,shockwave plugin not working,General
252422,Flash plugin stops Java extension working.,General
252460,"After JAVA 2 is installed, the plugin fails to work.  Additionally , what used to work in Windows Explorer also ceases working",General
252724,Send and other buttons of hotmail not working in Firefox,General
253541,print preview stops working correctly if you reload the page in the print preview from the context menu,General
254310,javascript menu on ig-phelsuma.de not working,General
254681,Test Case Description for copy-bad-stuff not working properly,General
255666,Missing-plugin dialog contains useless and not-working Cancel button,General
255960,"Can't change default Format of paper (A4,Letter,etc.) Locale not working?",Preferences
257459,NatWest DHTML menus broken since v0.9.3 for OS X (working on v.0.9.2),General
259449,javascript error when a page is loaded in the sidebar while working properly in normal browser windows,General
261597,overflow-x css / style not working,General
263803,Word Wrapping not working correctly - Possibly due to long URLs in forum text.,General
264013,Window selection and checking in Window menu not working correctly,Menus
264862,Tooltips truncated and newline chars not working with them.,General
265502,Popup blocking not working,General
266063,"mailto link does NOT show body attribute in MS Outlook from Javascript, although working from <a> link",General
266527,the pages are not working well. in internet explorer they are working good.,General
266609,Middle mouse button is not working,General
266892,No BACK or FORWARD buttons working when extensions page opened from the link in the Extension Manager,General
268682,Chinese encode is working but not 100% working,General
270444,"popup blocker options/whitelist-entries aren't working at all, firefox just blocks everything",Preferences
271614,Java-applet not working,General
271911,mousewheel stops working when scrolling through the page given in URL field,General
272063,most images/embedded flash files not loading on pages. gmail not working either.,General
274954,Pop up blocker not working,General
274997,"Frequent ""Cannot find Page"" errors with known and working links",General
275534,Pad scrolling not working,General
276399,Hyperlink not working,General
277508,rolldown and rollup action not working like IE,General
278196,"http authentication not working with some ""servers""",General
279834,flash and JAVA plugins will not load on 64 bit Intel FC3 although JAVA is working on same pc,General
280073,Mousewheel stops working on bloglines after some time,General
280126,Mozilla Firefox not working with Invision format buttons in forums,General
281063,"Globo Media Center, not is working.",General
281597,certain content in title attribute in an anchor tag prevents virtual includes from working,General
281993,FirefoxView 0.31.1 Extension stops working upon installation of Spyware Doctor 3.1,Menus
282413,Slider bar not working,General
282889,Exit handler not working correct.,General
284062,CTRL+V does not copy the trigger command on any working channel,General
284197,"while ""reading"" a page, the browser is working.. and then crash",General
284616,Firefox test release throws out an error message that causes javascript application to temporarily stop working.,General
285079,Setting className property of <img> element via JavaScript not working,General
287584,Navigation toolbar not tracking or working. Bookmarks not being maintained,General
288502,CSS absolute positioning not always working,General
288807,quick time not working,General
288822,"""Browse product here"" dropdownlist not working in Firefox",General
288971,pop-up alerts prevent working with any other pogram,General
289324,Flash noresize fullscreen mode not working in firefox,General
290302,not working after starting firefox 1.0.2 (windows 2000 SP5),General
290450,dhtml not working as expected with <MARQUEE> tag,General
291154,Keep Cookies Until I close Firefox setting no longer working in Firefox 1.0.3,General
291156,Keep Cookies Until I close Firefox setting no longer working in Firefox 1.0.3,General
292071,Anchor styles is not working in IDs,General
353256,user agent switcher not working/compatible with firefox 2,Extension Compatibility
411817,Web Developer addon not available/working for Firefox 3,Extension Compatibility
467644,Web Developer and User Agent Switcher addons not available/working for Firefox 3.5,Extension Compatibility
1035400,"""restart to update"" button not working. Prevents users from manually updating when the full update ui needs to be displayed (e.g. incompatible add-ons).",General
355586,RSS Ticker extension not available/working for firefox 2,Extension Compatibility
411797,"Java Console 6.0.0.0, 01 and 02 addon not available/working for Firefox 3",Extension Compatibility
263844,window.close() not working on new windows opened into tabs,Tabbed Browser
531005,Sync is not working after update IWeaveCrypto.unwrapSymmetricKey NS_ERROR_FAILURE,Sync
1153340,[e10s] Re-enable working browser tests,General
1212733,Drag-n-drop of tabs stopped working in e10s window on Linux/GTK 3.18,Tabbed Browser
1167909,Keyword search stop working in Fx41 in some site,Search
1174191,./mach storage-server is not working,Sync
1097623,"[e10s] ""BBCodeXtra"" addon not working with e10s",Extension Compatibility
1410105,diri.bg is not working,Search
411758,Metal Lion - Vista addon not available/working for Firefox 3,Extension Compatibility
411776,Aluminium Kai 2 addon not available/working for Firefox 3,Extension Compatibility
354263,MeasureIt  web developer extension not working for firefox 2,Extension Compatibility
1226954,recaptcha not working latest nightly+noscript (B: 20151121030232),Untriaged
354259,Anchorun extension not working with Firefox 2 -,Extension Compatibility
284428,XML prettyprint is not working,File Handling
595509,default search no longer working in location bar,Address Bar
866254,Starting firefox with search windows not working / issues at about:home in Private Browsing mode,Search
355727,Cacheout! extension not available/working for firefox 2,Extension Compatibility
1152104,"'Learn more about DRM' context menu only working on click, not on enter or when accesskey pressed",Menus
355683,Add N Edit Cookies extension not available/working for firefox 2,Extension Compatibility
1111404,e10s not working with Win XP x64 SP2,General
230288,SetVariable (flash scripting) is not working,General
225655,Location not showing in Location bar plus back buttons not working,Toolbars and Customization
354230,ReloadEvery Extension not working with Firefox 2,Extension Compatibility
355587,Auto Copy extension not available/working for firefox 2,Extension Compatibility
966560,HAWK.signCertificate error preventing log in from working,Sync
1240401,foxyproxy no longer working in Nightly since 2016-01-07-03-02-35-mozilla-central,Extension Compatibility
354253,Personal Toolbar Button Extension not working with Firefox 2,Extension Compatibility
411812,German Dictionary addon not available/working for Firefox 3,Extension Compatibility
411810,Noia 2.0 (eXtreme) addon not available/working for Firefox 3,Extension Compatibility
468661,Noia 2.0 (eXtreme) addon not available/working for Firefox 3.5,Extension Compatibility
1099508,"[e10s] Add-on ""Add-on Compatibility Reporter"" not working with e10s and current nightly",Extension Compatibility
1153676,Add on not working - Copy Plain Text 2 1.3.2,Extension Compatibility
1495723,Firefox Sync not working until manually visiting accounts.firefox.com,Sync
411774,Update Notifier addon not available/working for Firefox 3,Extension Compatibility
468747,Update Notifier and Gmail Manager addons not available/working for Firefox 3.5,Extension Compatibility
411811,DownThemAll! addon not available/working for Firefox 3,Extension Compatibility
467576,DownThemAll! addon not available/working for Firefox 3.5,Extension Compatibility
1109542,[e10s] Middle click not working on about:about pages,General
477583,Backups of bookmarks stops working if a future backup exists,Bookmarks & History
574443,Commands and drag & drop stop working when bookmarks menu button moves across toolbars,Bookmarks & History
426175,FUEL Application.extensions isn't working,General
502233,Webpage reading program(text to speech) stopped working in Firefox environment after upgrade,Disability Access
1059553,Right-click-open-new-tab stops working on e10s,General
270787,"Toolbar elements not removed from menu bar (and stop working) when ""Restore Default Set"" is used in customize pane",Toolbars and Customization
939804,Creative Commons searchplugin is not working,Search
354228,Html Validator extension not working,Extension Compatibility
354577,Fire ftp extension not working with Firefox 2,Extension Compatibility
342385,get the browser.tabs.tabClipWidth hidden pref working again,Tabbed Browser
418269,keyword (alias) search not working for search engines using post method,Address Bar
410398,Autoscroll not working in OS/2 build,General
526717,"remove non-working ""Set as desktop background"" from the UI for unsupported desktops",Shell Integration
778756,nsICommandLineRunner search and url parameters no longer working in Metro browser,General
225778,Bookmarks not working in BeOS build,Bookmarks & History
242680,Saved Form Information working sporadically,Address Bar
250249,Automatic proxy configuration not working (OS X only),Preferences
255171,"significant slowdown (rare crashes) on autocomplete address bar, gets worse while running, autocomplete not working",Address Bar
256577,Context menu in sidebar not working when opening specified website.,General
279765,mouse wheel not working when mouse pointer is above a html PRE tag,General
287474,Navigation stops working on secondary browser window,Toolbars and Customization
293031,firefox stops working when attempting to load the live web radio stream from stubru.be,General
293747,mouse wheel not working when mouse pointer is above a flash object,General
294455,Multiple tabs open warning not working,Tabbed Browser
295036,click and hold contextual menu stopped working recently,Shell Integration
295268,Preferences-> Download-> Directory to save button not working,Preferences
295533,"Opening several links from Outlook 2003, then closing first window, causes links/address bar to stop working",General
295744,no (working) keyboard shortcuts for menus on Mac,Shell Integration
295961,Unable to open the program.. (it just suddenly stopped working one day),Disability Access
296379,eu.int - links not working,General
296427,the font in my yahoo drafts folder is not working properly,General
296472,When working in Full Screen mode (F11) there is no warning on closing multiple tabs,Tabbed Browser
296808,"after installing extension ""Inspect Element - Firefox Extension"" my flesh installed Firefox spoped working - I can see firefox.exe in test manage/process list but no firefox window in my system",General
296932,Imagemap ist not working due to CSS issue,General
297846,page renders fine but none of the links is working,General
298216,Keyboard not working with MacOSX 10.4.1 (Tiger) -  Java issue?,General
298279,Opening this site firefox just stops working at some preliminary step to loadind,Bookmarks & History
298605,Capture Selection not working after up graded to 1.04.,Menus
299749,Crash and stops it from working when too many characters are typed in a textfield,Address Bar
299935,FCKEditor fails on Firefox 1.0.4 after working on 1.0.3 on MacOSX redirect/resize problem,General
300080,This buttons (java I suppose) are not working,General
300772,browser.tabs.opentabfor.windowopen = true not working,Tabbed Browser
301953,a onclick not working,General
302534,Accents not working using slash followed by a search term,Search
303040,Wmode Transparency for flash not working,General
303119,Previous (back) button isn't working in some pages when a popup block notification is displayed,General
303296,"when using yahoo mail several options are not working, eg. 'reply'",Menus
303734,"After moving DeerPark.app, many commands (such as Quit) stop working",General
305446,"Scroll button working slowly on fixed background >> Similar to 90198,",General
305780,Firefox problem with Win XP Multiple Desktop Powertoy - copy and paste not working,Shell Integration
305804,mediaplayer embed autosize param not working,General
305869,the function javascript:parent.window.close() is not working on mozilla/firefox,General
306452,1.0.6 not working correctly - shutting down...,General
307159,Advanced Javascript options not working,Preferences
307326,Mose move/sort TAB not working,Tabbed Browser
307514,Scroll wheel stops working in print preview if you scroll over some images or text boxes,General
307762,Keyboard shortcuts for switching tabs stop working,Tabbed Browser
308548,Access keys stop working after switching pref panes,Preferences
308779,"""Mark As Read"" action is not working in yahoomail and hotmail",General
309001,Clipboard not working properly,General
309102,copy paste of text not working 70-80% of the time,General
309279,Arin whois database search page stop working,General
309303,"Removing cookies - ""don't allow site to set cookies in the future"" not working properly",Preferences
309354,Close tabs stopped working,Tabbed Browser
309876,Control + T/Alt+Enter doesnt open tabs. All other Hotkeys working.,Tabbed Browser
309978,"Popup not working! nsIDOMJSWindow.open, 0x80004005 (NS_ERROR_FAILURE)",General
310022,some keyboard buttons stopped working after i made keyboard shortcuts,General
310397,Memo board combo box not working <scrool to different pages > and the submit button is missing,Menus
310641,Mouse or touchpad not working,General
311077,Links that open new windows stop working,General
311112,meta refresh stops working after using rich text,General
311276,The defer attribute of the script html tag is not working correctly in Firefox,General
312040,"Image context menu (""view image"" / ""Copy Image location"") not working on broken images",Menus
312613,User initiated popups and password authentication popups stop working after FF has been open for a while.,General
312981,character encoding is not working with the current version of firefox but it was working fine with previous versions,Page Info Window
313075,Read and Send Mail Button's option not working,General
313261,Installing OSX Firefox stops Safari RSS working,Installer
313393,"Features stop working after extensive usage - http auth, live bookmarks, new windows",General
313439,"recruit.com.hk - Multiple error detected, mostly javascript and option menu are not working at all",General
313511,Custom tree views (ie : view.getCellText) not working in Deer Park,General
313569,"the index page work fine on other Browser (IE, netscapes) except Firefox...Javascript not working..",General
313848,Combo box not working since 1.06,General
314152,"Cut, Copy and Past not working through mouse or keyboard",Keyboard Navigation
314437,"On occasion a number of seemingly unrelated functions stop working that occur from a ""mouse click""",General
